,ticker,entry_date,exit_date,entry_price,exit_price,pnl,return_pct,reason,days_held
111,CCI,2025-08-13,2025-09-04,99.5086898803711,93.97717164058548,-221.26072959142448,-0.055588293308208345,Stop Loss,22
112,VTR,2025-05-20,2025-09-12,64.02682495117188,69.24632263183594,344.4868469238281,0.08152048277646994,Target 8%,115
113,PLTR,2025-09-02,2025-09-12,157.08999633789062,171.42999267578125,243.77993774414062,0.09128522930923114,Target 8%,10
114,GILD,2025-08-29,2025-09-15,111.45475769042969,112.56930526733399,41.23826034545911,0.010000000000000031,Stop Loss,17
115,TXT,2025-08-08,2025-09-16,76.98353576660156,83.4107894897461,276.37191009521484,0.08348867922396626,Target 8%,39
116,EMR,2025-08-18,2025-09-16,131.2604522705078,131.0115201312074,-6.97009990041181,-0.0018964747949169834,Stop Loss,29
117,COIN,2025-08-01,2025-09-17,314.69000244140625,317.8369024658203,15.734500122070187,0.00999999999999992,Stop Loss,47
118,EW,2025-09-12,2025-09-18,77.56999969482422,74.72285679408482,-130.96857343401237,-0.03670417573727762,Stop Loss,6
119,CEG,2025-08-22,2025-09-22,309.80450439453125,346.7221374511719,406.0939636230469,0.11916428758449099,Target 8%,31
120,GNRC,2025-09-03,2025-09-23,175.13999938964844,176.89139938354492,38.530799865722656,0.01,Stop Loss,20
121,NKE,2025-09-15,2025-09-25,72.56671142578125,69.41406093188534,-179.7010781520666,-0.04344485828216603,Stop Loss,10
122,CSX,2025-09-04,2025-09-29,32.53972244262695,35.69804763793945,391.63232421875,0.09706060649045678,Target 8%,25
123,MGM,2025-09-23,2025-09-30,34.77000045776367,35.11770046234131,41.72400054931671,0.010000000000000073,Stop Loss,7
124,AEP,2025-09-16,2025-10-06,106.00413513183594,114.75514221191406,297.53424072265625,0.08255345010074007,Target 8%,20
125,VICI,2025-09-22,2025-10-07,30.93040657043457,31.239710636138916,41.75604887008671,0.010000000000000009,Stop Loss,15
126,NKE,2025-09-29,2025-10-07,69.10879516601562,69.79988311767578,42.15636505126922,0.009999999999999926,Stop Loss,8
127,BA,2025-09-16,2025-10-09,215.02000427246094,217.17020431518554,34.403200683593695,0.009999999999999985,Stop Loss,23
128,EXC,2025-09-12,2025-10-10,43.00449752807617,46.66255569458008,307.2768859863281,0.08506222318062627,Target 8%,28
129,AVGO,2025-09-30,2025-10-10,329.27996826171875,332.57276794433596,39.51359619140658,0.010000000000000083,Stop Loss,10
130,LOW,2025-10-06,2025-10-10,240.48760986328125,232.13580749770637,-150.3324425803479,-0.03472861812017233,Stop Loss,4
131,HD,2025-10-07,2025-10-10,384.32427978515625,373.1224428858066,-100.8165320941468,-0.029146836378934112,Stop Loss,3
132,WFC,2025-10-10,2025-10-14,77.21404266357422,84.11773681640625,220.918212890625,0.08940982643418635,Target 8%,4
133,RF,2025-10-10,2025-10-16,23.908432006835938,24.1475163269043,24.864769287109567,0.010000000000000077,Stop Loss,6
134,COF,2025-10-10,2025-10-16,201.7228240966797,203.7400523376465,24.206738891601617,0.010000000000000023,Stop Loss,6
135,NCLH,2025-10-10,2025-10-17,22.450000762939453,22.674500770568848,23.34800079345706,0.010000000000000012,Stop Loss,7
136,VRSN,2025-10-13,2025-10-22,263.247314453125,252.91778382774334,-185.93155125686997,-0.039238883203197836,Stop Loss,9
137,BKR,2025-10-16,2025-10-23,44.42891311645508,48.658817291259766,389.15118408203125,0.09520611417428673,Target 8%,7
138,NUE,2025-09-18,2025-10-28,133.7572021484375,151.99000549316406,565.2169036865234,0.1363126848638225,Target 8%,40
139,EW,2025-09-25,2025-10-28,75.2699966430664,82.19000244140625,380.6003189086914,0.09193577928739405,Target 8%,33
140,BX,2025-10-09,2025-10-28,159.23675537109375,149.85855175046476,-253.21149775698285,-0.05889471685587623,Stop Loss,19
141,LYV,2025-10-07,2025-10-30,155.3300018310547,147.5414276123047,-179.13720703125,-0.050142111162924434,Stop Loss,23
142,HSY,2025-10-28,2025-10-30,178.87197875976562,170.36891305903288,-136.04905121172396,-0.04753715903234239,Stop Loss,2
