date,equity,peak,drawdown,returns
2025-04-03,20977.488008825716,32843.20292528269,-0.3612837317800923,-0.28411930097194593
2025-04-04,11309.377567034857,32843.20292528269,-0.6556554611082436,-0.46088027497492845
2025-04-07,28032.702861475464,32843.20292528269,-0.1464686643002198,1.4787131471484867
2025-04-08,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-09,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-10,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-11,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-14,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-15,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-16,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-17,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-21,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-22,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-23,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-24,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-25,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-28,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-29,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-04-30,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-01,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-02,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-05,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-06,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-07,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-08,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-09,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-12,28032.702861475464,32843.20292528269,-0.1464686643002198,0.0
2025-05-13,27738.291143106933,32843.20292528269,-0.15543282406984726,-0.010502437807134557
2025-05-14,19482.63791053247,32843.20292528269,-0.4067984795863274,-0.2976265981917211
2025-05-15,28160.839101156696,32843.20292528269,-0.14256721047512427,0.4454325554104108
2025-05-16,28514.854520163044,32843.20292528269,-0.13178825509090908,0.012571195685422865
2025-05-19,28641.869265875324,32843.20292528269,-0.12792094817808347,0.004454336094279032
2025-05-20,28588.189606985554,32843.20292528269,-0.1295553703448828,-0.0018741674431747013
2025-05-21,28320.934830984577,32843.20292528269,-0.1376926636718757,-0.009348433030389347
2025-05-22,28048.712455114826,32843.20292528269,-0.14598120899094974,-0.009612054739518205
2025-05-23,28306.540055593952,32843.20292528269,-0.13813095147904764,0.009192136747514512
2025-05-27,28463.333772024616,32843.20292528269,-0.13335694339014822,0.005539133928863071
2025-05-28,28058.728238424763,32843.20292528269,-0.1456762514223252,-0.014214973440585643
2025-05-29,28233.013491949543,32843.20292528269,-0.14036966625396408,0.00621144522459538
2025-05-30,28443.914698919758,32843.20292528269,-0.13394820950840824,0.0074700211166034425
2025-06-02,28391.044896444782,32843.20292528269,-0.13555797340979306,-0.001858738610159838
2025-06-03,28204.357644400105,32843.20292528269,-0.14124217091237481,-0.0065755682020726125
2025-06-04,27958.308980307087,32843.20292528269,-0.1487337868991825,-0.008723781877793213
2025-06-05,24970.531531652912,32843.20292528269,-0.23970473925883146,-0.10686545637501421
2025-06-06,27954.38382123421,32843.20292528269,-0.1488532989663158,0.1194949449033127
2025-06-09,27923.27363561104,32843.20292528269,-0.14980053257486314,-0.001112891123700499
2025-06-10,28151.995059713823,32843.20292528269,-0.14283649119853584,0.00819106767664568
2025-06-11,28151.001352056963,32843.20292528269,-0.142866747311471,-3.529794796963692e-05
2025-06-12,28374.0598218293,32843.20292528269,-0.13607512987148532,0.007923642465955893
2025-06-13,28179.951156362993,32843.20292528269,-0.1419852923458305,-0.006841060697171497
2025-06-16,27921.61389707039,32843.20292528269,-0.1498510677965474,-0.009167413309524863
2025-06-17,20684.569709524614,32843.20292528269,-0.3702024203735125,-0.25919147131767717
2025-06-18,27812.81804830025,32843.20292528269,-0.15316365119523864,0.3446167089225596
2025-06-20,27864.409179510578,32843.20292528269,-0.1515928198933192,0.0018549408089727493
2025-06-23,28272.977140249714,32843.20292528269,-0.1391528650670918,0.014662717522809121
2025-06-24,25425.424081625446,32843.20292528269,-0.2258543072224859,-0.10071642064784403
2025-06-25,24916.054426779254,32843.20292528269,-0.24136344182196431,-0.020033870554564515
2025-06-26,27999.906301749535,32843.20292528269,-0.1474672441220642,0.12376967164013819
2025-06-27,28022.527225745507,32843.20292528269,-0.14677848900742346,0.0008078928462185164
2025-06-30,28318.79909731228,32843.20292528269,-0.13775769185067896,0.010572632124863368
2025-07-01,28267.57546259243,32843.20292528269,-0.13931733372959013,-0.0018088208664438499
2025-07-02,24439.129436744042,32843.20292528269,-0.2558847109905104,-0.13543595314407908
2025-07-03,28187.459004615135,32843.20292528269,-0.14175669563225105,0.15337410350777514
2025-07-07,28126.664290641136,32843.20292528269,-0.14360775486396804,-0.0021568000848903868
2025-07-08,28052.16431543667,32843.20292528269,-0.1458761077823467,-0.0026487312691841902
2025-07-09,28133.11185953457,32843.20292528269,-0.14341144121855104,0.0028856077979464434
2025-07-10,23783.667218421288,32843.20292528269,-0.2758420281807343,-0.15460232991037626
2025-07-11,25246.777840827293,32843.20292528269,-0.2312936744244171,0.061517452669064276
2025-07-14,28475.142853949852,32843.20292528269,-0.1329973840027127,0.12787235794905594
2025-07-15,28364.118272040672,32843.20292528269,-0.1363778272000999,-0.003898999997247743
2025-07-16,28443.545956824608,32843.20292528269,-0.13395943685721431,0.002800287462566109
2025-07-17,24985.125359748192,32843.20292528269,-0.23926039075456165,-0.12158893980117902
2025-07-18,28808.455457862205,32843.20292528269,-0.12284878172812244,0.15302425115198814
2025-07-21,24405.579408820457,32843.20292528269,-0.25690623218623276,-0.15283277006925222
2025-07-22,24901.141382392234,32843.20292528269,-0.2418175097282202,0.020305273858512773
2025-07-23,29367.41818826992,32843.20292528269,-0.1058296520263288,0.17936032478558683
2025-07-24,29363.72629373867,32843.20292528269,-0.10594206172460484,-0.00012571396326299666
2025-07-25,25857.718992408103,32843.20292528269,-0.21269192133198322,-0.11939926378070631
2025-07-28,29256.036935828513,32843.20292528269,-0.10922095502119185,0.1314237324807408
2025-07-29,29561.75763132412,32843.20292528269,-0.0999124629051485,0.010449832838473228
2025-07-30,29710.00581552822,32843.20292528269,-0.09539864662050167,0.005014863664500657
2025-07-31,25955.904958747215,32843.20292528269,-0.20970238445391193,-0.12635813268063678
2025-08-01,18120.86956980068,32843.20292528269,-0.4482611939211556,-0.3018594574683131
2025-08-04,29435.236793319338,32843.20292528269,-0.10376473146411372,0.6243832383394341
2025-08-05,29315.36494425928,32843.20292528269,-0.10741455360030315,-0.004072392890933529
2025-08-06,29347.215484420412,32843.20292528269,-0.10644477789865822,0.0010864794015592594
2025-08-07,29834.73147563135,32843.20292528269,-0.09160103710029512,0.016612001621405748
2025-08-08,22263.15269450342,32843.20292528269,-0.32213819872710253,-0.25378404318176295
